ID,Submit Year,Start Year,Title,Description,Institution,Investigators,Discipline
DP1092458,2009,2010,Design of reactive foils for joining amorphous alloys,"Amorphous alloys are very promising materials for many technological applications because of their extraordinary properties that include high strength, toughness, corrosion resistance etc. However, amorphous alloys are very restricted in application by the inability to join them readily to make larger assemblies. Conventional methods do not work because of the high cooling rates required to maintain amorphousness. This research, which consists of novel experimental and computational components, investigates highly reactive foils for the purposes of joining amorphous alloys. It is anticipated that the research will lay the foundation for a robust and reliable means for joining these materials and facilitate their uptake in technology. ",The University of Newcastle,Prof IV Belova; Dr DP Riley; Dr T Fiedler; Prof Dr A Oechsner,NSW
DP1092646,2009,2010,Engaging economically disadvantaged adolescent girls in physical activity and healthy eating to improve health and prevent obesity,"Approximately 25% of Australian youth are overweight or obese with this proportion increasing over the past two decades.  Obesity is associated with a variety of serious physical and psychological health issues. This study will evaluate the effects of a school-based obesity prevention intervention for low-active adolescent girls from disadvantaged communities. Despite evidence that the prevalence of obesity is higher in areas of social and economic disadvantage, no previous study has targeted the behavioural risks factors among adolescents from these areas. This project will develop the first evidence-guided program that targets improvement in the health behaviours of economically and socially disadvantaged adolescent girls.",The University of Newcastle,Dr DR Lubans; A/Prof PJ Morgan; A/Prof R Callister; A/Prof CE Collins; A/Prof AD Okely; Prof RC Plotnikoff,NSW
DP1092679,2009,2010,Modelling and predicting patterns of pedestrian movement: using robotics and machine learning to improve the design of urban space.,"The built environment is a major contributor to the cultural and social wellbeing of Australia. Its success depends on the ability of designers to shape public spaces that can accommodate increasingly complex patterns of use. In dense urban centres across Australasia, a significant problem for the architect involves predicting and shaping the behaviour of pedestrians, commuters and crowds.
Computer technology developed for the robotics industry provides a previously unavailable tool for researching, identifying, tracking and predicting the behaviour of pedestrians. This project will assist designers, town planners and policy writers to shape rich, responsive and inclusive architectural environments.",The University of Newcastle,Prof MJ Ostwald; Dr SK Chalup,NSW
DP1092849,2009,2010,Monotremes provide a key to understanding the molecular biology of mammalian gamete evolution,"The proteins and molecular processes involved in spermatozoa achieving conception will be determined in the earliest mammals, the platypus and echidna, which provide a unique model for understanding conception in humans and other mammals. 
The formation of bundles of 100 sperm during transport from the testis and their subsequent dispersal under specific conditions provides a model for understanding two post-testicular sperm modifications which are essential for fertility in humans and other mammals: maturation in the epididymis and capacitation after ejaculation. 
The work also provides a basis for interpreting the significance of gene sequence modifications in human infertility.
",The University of Newcastle,Dr B Nixon; Dr HW Ecroyd; A/Prof RC Jones,NSW
DP1093114,2009,2010,Optimising Cooperation in Multiterminal Wireless Networks,"Cooperative communication, where multiple wireless terminals collaborate to transmit a single user's message, has been shown to significantly increase the transmission rate of wireless networks.  This project aims to optimise cooperation, in terms of routing, scheduling and coding for multiterminal wireless networks by applying information-theoretic analyses, followed by design of codes, and, supplemented with testbed implementation. Outcomes of this research will be capacity results and new iterative codes for the next generation multiterminal wireless networks.",The University of Newcastle,Dr SJ Johnson; Dr L Ong,NSW
DP1093408,2009,2010,Design of hollow nanoparticles of titania for the sustainable production of hydrogen from water using sunlight,An almost limitless supply of the clean and non-polluting fuel hydrogen can be produced directly from water and sunlight. To make this attractive technology commercially viable requires a suitable material for the key component: the photo-anode. The aim of this research is to engineer this material around titanium dioxide. This ceramic will have nano-size particles of sophisticated shape possessing the electrical properties for this demanding task. The materials will be synthesized and tested in linked experimental programs. The outcome of the research will help lay the foundation to enable this technology to be commercially adopted nationally and globally.,The University of Newcastle,Prof IV Belova; Prof GE Murch,NSW
DP1093769,2009,2010,Computer Assisted Research Mathematics and its Applications,"This proposal has a pure and an applied part. My applied research is on a class of algorithms used successfully by many, but without real justification, for core signal reconstruction problems in astronomy, physics, bioscience, genomics, geoscience, and medicine. Success will provide much better methods for such reconstructions and, equally importantly, an understanding of why and when they work. Success with the purer research, which still has immediate applications in other sciences, is also aimed at helping change the culture of mathematics at both a research and a pedagogical level.",The University of Newcastle,Prof JM Borwein,NSW
DP1093787,2009,2010,Remaining life estimation for existing deteriorating reinforced concrete infrastructure,"The project will develop improved techniques for estimating the remaining life of existing infrastructure that is known to be, or likely to be, deteriorating. The focus is reinforced concrete structures exposed to harsh, salt-laden environments. These include structures in marine coastal locations such as jetties, piers, road and railway bridges, harbour and port structures, buildings, etc.  New techniques will be used to develop stochastic reinforcement corrosion models and methods for incorporating on-site inspections and testing to improve predictions of future performance and structural reliability. The outcomes will enhance the accuracy of service life predictions for existing infrastructure.",The University of Newcastle,Prof RE Melchers; Prof MG Stewart,NSW
DP1093809,2009,2010,Experimental Studies of the effects of the research process on participant behaviour,"Social science is increasingly being relied upon to develop behavioural interventions to improve health, e.g., encouraging smoking cessation or increasing physical activity. Such research typically involves participants having their behaviour monitored and measured. Despite awareness of the potential for this to bias estimates of intervention effects (the 'Hawthorne effect'), there has been little detailed study of these effects. We seek to investigate and quantify biases in experimental trials of behavioural interventions in order to improve study designs to eliminate or control for the effects of the research process and to improve the interpretation of existing findings.",The University of Newcastle,Dr K Kypri; Dr J McCambridge; Prof Dr J Attia; Mr SJ Bowe,NSW
DP1094154,2009,2010,Recomputing the canon: using computational methods to develop an alternative understanding of the history of 20th century architecture,"Architectural history has been recorded, constructed and debated over time by historians and theorists of the built environment. The methods they have used to construct the canon may have been refined but are still essentially the same as those of the last two centuries. However, advanced computational methods now exist which are capable of producing alternative, mathematical and geometric interpretations, of the formal, social and cultural qualities of historic buildings. The present research project applies state-of-the-art developments in computational analysis to uncover a parallel history of 20th century architecture and to promote a major conceptual shift in architectural thinking.",The University of Newcastle,Prof MJ Ostwald; Dr N Gu; Mr MJ Chapman,NSW
